Phenotype	Case	Replicate	Fraction
0	IFNlow	r1	33.74633552740749
1	IFNlow	r1	26.942861883953757
2	IFNlow	r1	15.00636097129266
3	IFNlow	r1	24.304441617346093
0	IFNlow	r2	32.36313617606602
1	IFNlow	r2	26.844566712517192
2	IFNlow	r2	15.895460797799174
3	IFNlow	r2	24.896836313617605
0	IFNlow	r3	32.9155672823219
1	IFNlow	r3	28.336631486367633
2	IFNlow	r3	15.42985927880387
3	IFNlow	r3	23.317941952506597
0	IFNhigh	r1	4.389769006106735
1	IFNhigh	r1	49.93362244446411
2	IFNhigh	r1	43.67643154261439
3	IFNhigh	r1	2.0001770068147624
0	IFNhigh	r2	3.9561614541566428
1	IFNhigh	r2	50.94894413258487
2	IFNhigh	r2	42.724761650182664
3	IFNhigh	r2	2.3701327630758264
0	IFNhigh	r3	4.556781772872909
1	IFNhigh	r3	50.41829832680669
2	IFNhigh	r3	43.04912780348879
3	IFNhigh	r3	1.9757920968316127
